1,旭川工業高等専門学校,旭川,0,0,0
1,釧路工業高等専門学校,釧路,0,0,0
1,札幌市立高等専門学校,札幌,0,0,0
1,苫小牧工業高等専門学校,苫小牧,0,0,0
1,函館工業高等専門学校,函館,0,0,0
2,八戸工業高等専門学校,八戸,0,0,0
2,秋田工業高等専門学校,秋田,0,0,0
2,一関高等専門学校,一関,0,0,0
2,鶴岡工業高等専門学校,鶴岡,0,0,0
2,仙台高等専門学校広瀬キャンパス,仙台広瀬,0,0,0
2,仙台高等専門学校名取キャンパス,仙台名取,0,0,0
2,福島工業高等専門学校,福島,0,0,0
3,長岡工業高等専門学校,長岡,0,0,0
3,長野工業高等専門学校,長野,0,0,0
3,茨城工業高等専門学校,茨城,0,0,0
3,群馬工業高等専門学校,群馬,0,0,0
3,小山工業高等専門学校,小山,0,0,0
3,東京都立産業技術高等専門学校荒川キャンパス,産技荒川,0,0,0
3,東京工業高等専門学校,東京,0,0,0
3,東京都立産業技術高等専門学校品川キャンパス,産技品川,0,0,0
3,サレジオ工業高等専門学校,サレジオ,0,0,0
3,桐蔭学園工業高等専門学校,桐蔭,0,0,0
3,木更津工業高等専門学校,木更津,0,0,0
4,富山高等専門学校射水キャンパス,富山射水,0,0,0
4,石川工業高等専門学校,石川,0,0,0
4,富山高等専門学校本郷キャンパス,富山本郷,0,0,0
4,金沢工業高等専門学校,金沢,0,0,0
4,福井工業高等専門学校,福井,0,0,0
4,岐阜工業高等専門学校,岐阜,0,0,0
4,沼津工業高等専門学校,沼津,0,0,0
4,豊田工業高等専門学校,豊田,0,0,0
4,鈴鹿工業高等専門学校,鈴鹿,0,0,0
4,鳥羽商船高等専門学校,鳥羽商船,0,0,0
5,舞鶴工業高等専門学校,舞鶴,0,0,0
5,大阪府立大学工業高等専門学校,大阪府大,0,0,0
5,明石工業高等専門学校,明石,0,0,0
5,神戸市立工業高等専門学校,神戸,0,0,0
5,奈良工業高等専門学校,奈良,0,0,0
5,近畿大学工業高等専門学校,近大,0,0,0
5,和歌山工業高等専門学校,和歌山,0,0,0
6,松江工業高等専門学校,松江,0,0,0
6,米子工業高等専門学校,米子,0,0,0
6,津山工業高等専門学校,津山,0,0,0
6,広島商船高等専門学校,広島商船,0,0,0
6,呉工業高等専門学校,呉,0,0,0
6,徳山工業高等専門学校,徳山,0,0,0
6,宇部工業高等専門学校,宇部,0,0,0
6,大島商船高等専門学校,大島商船,0,0,0
7,香川高等専門学校高松キャンパス,香川高松,0,0,0
7,弓削商船高等専門学校,弓削商船,0,0,0
7,香川高等専門学校詫間キャンパス,香川詫間,0,0,0
7,新居浜工業高等専門学校,新居浜,0,0,0
7,阿南工業高等専門学校,阿南,0,0,0
7,高知工業高等専門学校,高知,0,0,0
8,北九州工業高等専門学校,北九州,0,0,0
8,久留米工業高等専門学校,久留米,0,0,0
8,大分工業高等専門学校,大分,0,0,0
8,佐世保工業高等専門学校,佐世保,0,0,0
8,有明工業高等専門学校,有明,0,0,0
8,熊本高等専門学校熊本キャンパス,熊本熊本,0,0,0
8,熊本高等専門学校八代キャンパス,熊本八代,0,0,0
8,都城工業高等専門学校,都城,0,0,0
8,鹿児島工業高等専門学校,鹿児島,0,0,0
8,沖縄工業高等専門学校,沖縄,0,0,0
9,Electronic Engineering Polytechnic Institute of Surabaya,スラバヤ,0,0,0
